osm_id,type,name,minlat,minlon,maxlat,maxlon,center_lat,center_lon,tags
255331728,node,Чернівці-Північна,48.3177301,25.9178779,48.3177301,25.9178779,48.3177301,25.9178779,"{'esr:user': '366509', 'name': 'Чернівці-Північна', 'name:ru': 'Черновцы-Северная', 'name:uk': 'Чернівці-Північна', 'railway': 'station', 'uic_ref': '2218229', 'wikidata': 'Q28703958', 'wikipedia': 'uk:Чернівці-Північна'}"
255367661,node,Чернівці,48.3010524,25.9299818,48.3010524,25.9299818,48.3010524,25.9299818,"{'esr:user': '366602', 'int_name': 'Tscherniwzi', 'name': 'Чернівці', 'name:de': 'Czernowitz', 'name:en': 'Chernivtsi', 'name:es': 'Chernivtsí', 'name:pl': 'Czerniowce', 'name:ru': 'Черновцы', 'name:uk': 'Чернівці', 'name:zh': '切尔诺夫策', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218500', 'wheelchair': 'yes', 'wikidata': 'Q15708613', 'wikipedia': 'uk:Чернівці (станція)'}"
257497108,node,Рудно,49.8382704,23.9234042,49.8382704,23.9234042,49.8382704,23.9234042,"{'esr:code': '374670', 'name': 'Рудно', 'name:ru': 'Рудно', 'name:uk': 'Рудно', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218161', 'wikidata': 'Q12149202', 'wikipedia': 'uk:Рудно (станція)'}"
259736698,node,Львів-Персенківка,49.8096725,24.0304364,49.8096725,24.0304364,49.8096725,24.0304364,"{'esr:code': '378603', 'esr:user': '378603', 'name': 'Львів-Персенківка', 'name:de': 'Persenkiwka', 'name:en': 'Persenkivka', 'name:pl': 'Persenkówka', 'name:uk': 'Персенківка', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218921', 'wikidata': 'Q12139900', 'wikipedia': 'uk:Персенківка (станція)'}"
261716581,node,Запитів,49.92037,24.2232651,49.92037,24.2232651,49.92037,24.2232651,"{'esr:user': '370701', 'name': 'Запитів', 'name:pl': 'Zapytów', 'name:ru': 'Запытов', 'name:uk': 'Запитів', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218856'}"
261716593,node,Колодно,50.0017141,24.2750156,50.0017141,24.2750156,50.0017141,24.2750156,"{'esr:user': '370720', 'name': 'Колодно', 'name:ru': 'Колодно', 'name:uk': 'Колодно', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218854'}"
261716605,node,Сапіжанка,50.0830823,24.3376072,50.0830823,24.3376072,50.0830823,24.3376072,"{'esr:user': '370909', 'name': 'Сапіжанка', 'name:fr': 'Sapigeanka', 'name:ru': 'Сапежанка', 'name:uk': 'Сапіжанка', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218067'}"
264529045,node,Калинівська,48.3223097,25.9694501,48.3223097,25.9694501,48.3223097,25.9694501,"{'name': 'Калинівська', 'name:ru': 'Калиновская', 'name:uk': 'Калинівська', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes'}"
265406256,node,Магала,48.289214,26.0235255,48.289214,26.0235255,48.289214,26.0235255,"{'name': 'Магала', 'name:ru': 'Магала', 'name:uk': 'Магала', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218276'}"
267309437,node,Історичний музей,49.9920268,36.2320574,49.9920268,36.2320574,49.9920268,36.2320574,"{'colour': 'blue', 'name': 'Історичний музей', 'name:en': 'Istorychny Muzey', 'name:ru': 'Исторический музей', 'name:uk': 'Історичний музей', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1984', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980598', 'wikipedia': 'uk:Історичний музей (станція метро)'}"
267309438,node,Університет,50.0043914,36.2343698,50.0043914,36.2343698,50.0043914,36.2343698,"{'colour': 'blue', 'name': 'Університет', 'name:de': 'Universität', 'name:en': 'University', 'name:ru': 'Университет', 'name:uk': 'Університет', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1984', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1982189', 'wikipedia': 'uk:Університет (станція метро, Харків)'}"
267309824,node,Вокзальна,49.9897354,36.2063922,49.9897354,36.2063922,49.9897354,36.2063922,"{'brand': 'Kharkiv Metro', 'brand:wikidata': 'Q673320', 'brand:wikipedia': 'Kharkiv Metro', 'name': 'Вокзальна', 'name:en': 'Vokzalna', 'name:ru': 'Вокзальная', 'name:uk': 'Вокзальна', 'network': 'Харківський метрополітен', 'old_name': 'Південний вокзал', 'old_name:uk': 'Південний вокзал', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980672', 'wikipedia': 'uk:Вокзальна (станція метро, Харків)'}"
267309843,node,Майдан Конституції,49.9918695,36.2317622,49.9918695,36.2317622,49.9918695,36.2317622,"{'brand': 'Kharkiv Metro', 'brand:wikidata': 'Q673320', 'brand:wikipedia': 'Kharkiv Metro', 'name': 'Майдан Конституції', 'name:en': 'Maidan Konstytutsii', 'name:uk': 'Майдан Конституції', 'old_name': 'Радянська', 'old_name:en': 'Radianska', 'old_name:uk': 'Радянська', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1975', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1851615', 'wikipedia': 'uk:Майдан Конституції (станція метро)'}"
267309844,node,Левада,49.9809137,36.2431139,49.9809137,36.2431139,49.9809137,36.2431139,"{'name': 'Левада', 'name:en': 'Levada', 'name:ru': 'Левада', 'name:uk': 'Левада', 'old_name': 'Проспект Гагаріна', 'old_name:en': 'Prospekt Haharіna', 'old_name:uk': 'Проспект Гагаріна', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1975', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980939', 'wikipedia': 'uk:Проспект Гагаріна (станція метро)'}"
267310306,node,Спортивна,49.9792593,36.2612851,49.9792593,36.2612851,49.9792593,36.2612851,"{'name': 'Спортивна', 'name:en': 'Sportyvna', 'name:ru': 'Спортивная', 'name:uk': 'Спортивна', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1975', 'station': 'subway', 'subway': 'yes', 'toilets': 'yes', 'transport': 'subway', 'wheelchair': 'no', 'wikidata': 'Q2021778', 'wikipedia': 'uk:Спортивна (станція метро, Харків)'}"
267310307,node,Заводська,49.9760105,36.2808808,49.9760105,36.2808808,49.9760105,36.2808808,"{'name': 'Заводська', 'name:en': 'Zavodska', 'name:ru': 'Заводская', 'name:uk': 'Заводська', 'old_name': 'Завод імені Малишева', 'old_name:en': 'Zavod imeni Malysheva', 'old_name:uk': 'Завод імені Малишева', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1975', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980928', 'wikipedia': 'uk:Завод імені Малишева (станція метро)'}"
267310308,node,Турбоатом,49.9722696,36.3017862,49.9722696,36.3017862,49.9722696,36.3017862,"{'name': 'Турбоатом', 'name:en': 'Turboatom', 'name:ru': 'Турбоатом', 'name:uk': 'Турбоатом', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1975', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q2295092', 'wikipedia': 'uk:Турбоатом (станція метро)'}"
267310326,node,Палац Спорту,49.9663105,36.3211163,49.9663105,36.3211163,49.9663105,36.3211163,"{'name': 'Палац Спорту', 'name:en': 'Palats Sportu', 'name:ru': 'Дворец Спорта', 'name:uk': 'Палац Спорту', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wheelchair': 'limited', 'wikidata': 'Q1980634', 'wikipedia': 'uk:Палац Спорту (станція метро, Харків)'}"
267310368,node,Армійська,49.9618672,36.3429542,49.9618672,36.3429542,49.9618672,36.3429542,"{'name': 'Армійська', 'name:en': 'Armiiska', 'name:ru': 'Армейская', 'name:uk': 'Армійська', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980955', 'wikipedia': 'uk:Армійська (станція метро)'}"
267310369,node,Ім. О.С. Масельського,49.9585511,36.3601484,49.9585511,36.3601484,49.9585511,36.3601484,"{'name': 'Ім. О.С. Масельського', 'name:en': 'іm. O.S. Maselskoho', 'name:ru': 'им. А.С. Масельского', 'name:uk': 'Ім. О.С. Масельського', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'start_date': '1978', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1980919', 'wikipedia': 'uk:Імені О.С. Масельського (станція метро)'}"
267310391,node,Центральний ринок,49.9927554,36.2196113,49.9927554,36.2196113,49.9927554,36.2196113,"{'brand': 'Kharkiv Metro', 'brand:wikidata': 'Q673320', 'brand:wikipedia': 'Kharkiv Metro', 'name': 'Центральний ринок', 'name:en': 'Tsentralny Rynok', 'name:ru': 'Центральный рынок', 'name:uk': 'Центральний ринок', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1981254', 'wikipedia': 'uk:Центральний ринок (станція метро)'}"
267465955,node,Ярослава Мудрого,50.0038678,36.248325,50.0038678,36.248325,50.0038678,36.248325,"{'colour': 'blue', 'name': 'Ярослава Мудрого', 'name:en': 'Yaroslava Mudroho', 'name:ru': 'Ярослава Мудрого', 'name:uk': 'Ярослава Мудрого', 'old_name': 'Пушкінська', 'old_name:en': 'Pushkіnska', 'old_name:uk': 'Пушкінська', 'operator': 'КП «Харківський метрополітен»', 'public_transport': 'station', 'railway': 'station', 'station': 'subway', 'subway': 'yes', 'transport': 'subway', 'wikidata': 'Q1984078', 'wikipedia': 'uk:Пушкінська (станція метро, Харків)'}"
